NodeIndex,NodeLabel,NodeType,NodeShape,NodeSize,NodeColor
0,"Ahn, Byung-joon",Author,Circle,1,Light Blue
1,"Albright, Madeleine K.",Author,Circle,1,Light Blue
2,"Andersson, Magnus; Bae, Jinsun",Author,Circle,1,Light Blue
3,"BARANY, ZOLTAN D.",Author,Circle,1,Light Blue
4,"Bachman, David",Author,Circle,1,Light Blue
5,"Bailey, Kenneth D.",Author,Circle,1,Light Blue
6,"Bates, Robert H.",Author,Circle,1,Light Blue
7,"Beck, Peter M.; Reader, Nicholas",Author,Circle,1,Light Blue
8,"Bong, Youngshik D.",Author,Circle,1,Light Blue
9,"Bounding, Kenneth E.",Author,Circle,1,Light Blue
10,"Brocklesby, John; Mingers, John",Author,Circle,1,Light Blue
11,"Byman, Daniel; Lind, Jennifer",Author,Circle,1,Light Blue
12,"Bünte, Marco",Author,Circle,1,Light Blue
13,"CHOI, CHANGYONG",Author,Circle,1,Light Blue
14,"Caprio, Mark",Author,Circle,1,Light Blue
15,"Chen, Cheng; Lee, Ji-Yong",Author,Circle,1,Light Blue
16,"Chestnut, Sheena",Author,Circle,1,Light Blue
17,"Cho, Seong-Ryoul",Author,Circle,1,Light Blue
18,"Clark, Donald N.",Author,Circle,1,Light Blue
19,"Clemens, Walter C.",Author,Circle,1,Light Blue
20,"Clément, Théo",Author,Circle,1,Light Blue
21,"Coles, Harry L.",Author,Circle,1,Light Blue
22,"Corning, Peter A.",Author,Circle,1,Light Blue
23,"Cushman, Thomas",Author,Circle,1,Light Blue
24,"Dallin, Alexander",Author,Circle,1,Light Blue
25,"David-West, Alzo",Author,Circle,1,Light Blue
26,"De Ceuster, Koen",Author,Circle,1,Light Blue
27,"Diwan, Romesh",Author,Circle,1,Light Blue
28,"Dorn, James A.",Author,Circle,1,Light Blue
29,"Dukalskis, Alexander; Gerschewski, Johannes",Author,Circle,1,Light Blue
30,"Easton, David",Author,Circle,1,Light Blue
31,"Eberstadt, Nicholas",Author,Circle,1,Light Blue
32,"Ericson, Richard E.",Author,Circle,1,Light Blue
33,"Francisco, Ronald A.",Author,Circle,1,Light Blue
34,"Geddes, Barbara; Wright, Joseph; Frantz, Erica",Author,Circle,1,Light Blue
35,"Geifman, Anna",Author,Circle,1,Light Blue
36,"Gerschewski, Johannes",Author,Circle,1,Light Blue
37,"Grauvogel, Julia; von Soest, Christian",Author,Circle,1,Light Blue
38,"Graziano, Luigi",Author,Circle,1,Light Blue
39,"Haggard, Stephan; Herman, Luke; Ryu, Jaesung",Author,Circle,1,Light Blue
40,"Halliday, Jon",Author,Circle,1,Light Blue
41,"Harrison, Selig S.",Author,Circle,1,Light Blue
42,"Hayes, Peter",Author,Circle,1,Light Blue
43,"Heilmann, Sebastian; Melton, Oliver",Author,Circle,1,Light Blue
44,"Herrmann, Richard K.; Choi, Jong Kun",Author,Circle,1,Light Blue
45,"Hwang, Balbina Y.",Author,Circle,1,Light Blue
46,"Hwang, Jaeho",Author,Circle,1,Light Blue
47,"Hwang, Kwang-kuo",Author,Circle,1,Light Blue
48,"Ishiyama, John",Author,Circle,1,Light Blue
49,"Jeon, Jei Guk",Author,Circle,1,Light Blue
50,"Jesse, Neal",Author,Circle,1,Light Blue
51,"Jonsson, Petur O.",Author,Circle,1,Light Blue
52,"Kihl, Young Whan",Author,Circle,1,Light Blue
53,"Kim, Heungkyu",Author,Circle,1,Light Blue
54,"Kim, Insoo; Lee, Min Yong",Author,Circle,1,Light Blue
55,"Kim, Roy U. T.",Author,Circle,1,Light Blue
56,"Kim, Samuel S.",Author,Circle,1,Light Blue
57,"Kim, Sung Chull",Author,Circle,1,Light Blue
58,"Kim, Sunwoong",Author,Circle,1,Light Blue
59,"Kim, Suzy",Author,Circle,1,Light Blue
60,"Kim, Yongho",Author,Circle,1,Light Blue
61,"Koh, B. C.",Author,Circle,1,Light Blue
62,"Koh, Byung Chul",Author,Circle,1,Light Blue
63,"Kuran, Timur",Author,Circle,1,Light Blue
64,"Lankov, Andrei",Author,Circle,1,Light Blue
65,"Lee, Aie-Rie; Lee, Hyun-chool; Lee, Ji-Yong; Kim, Il-Gi",Author,Circle,1,Light Blue
66,"Lee, Katherine In-Young",Author,Circle,1,Light Blue
67,"Leung, C. K. Hanson",Author,Circle,1,Light Blue
68,"Lipson, Michael",Author,Circle,1,Light Blue
69,"Liu, Alan P. L.",Author,Circle,1,Light Blue
70,"Lynn, Hyung-Gu",Author,Circle,1,Light Blue
71,"Mahdavi, Paasha; Ishiyama, John",Author,Circle,1,Light Blue
72,"Mahdavi, Paasha; John, Ishiyama",Author,Circle,1,Light Blue
73,"Manzocco, Roberto",Author,Circle,1,Light Blue
74,"Matherly, Carter",Author,Circle,1,Light Blue
75,"McCormack, Gavan",Author,Circle,1,Light Blue
76,"McEachern, Patrick",Author,Circle,1,Light Blue
77,"McEachern, Patrick; Boyd, Molly",Author,Circle,1,Light Blue
78,"McNEAL, ROBERT H.",Author,Circle,1,Light Blue
79,"Munck, Gerardo L.; Leff, Carol Skalnik",Author,Circle,1,Light Blue
80,"Nincic, Miroslav",Author,Circle,1,Light Blue
81,"Noland, Marcus",Author,Circle,1,Light Blue
82,"Noland, Marcus; Robinson, Sherman; Liu, Ligang",Author,Circle,1,Light Blue
83,"Oh, Kongdan; Hassig, Ralph C.",Author,Circle,1,Light Blue
84,"Oleszczuk, Thomas",Author,Circle,1,Light Blue
85,"Packenham, Robert A.",Author,Circle,1,Light Blue
86,"Park, Han Shik",Author,Circle,1,Light Blue
87,"Putnam, Robert D.",Author,Circle,1,Light Blue
88,"Pynsent, R. B.",Author,Circle,1,Light Blue
89,"Pyrcz, Greg",Author,Circle,1,Light Blue
90,"Reiss, Mitchell B.; Gallucci, Robert L.",Author,Circle,1,Light Blue
91,"Rhee, Kang Suk",Author,Circle,1,Light Blue
92,"Robinson, Jean C.",Author,Circle,1,Light Blue
93,"Russett, Bruce; Layne, Christopher; Spiro, David E.; Doyle, Michael W.",Author,Circle,1,Light Blue
94,"Scobell, Andrew",Author,Circle,1,Light Blue
95,"Sigal, Leon V.",Author,Circle,1,Light Blue
96,"Skillend, W. E.",Author,Circle,1,Light Blue
97,"Skilling, H. Gordon",Author,Circle,1,Light Blue
98,"Song, Wonjun; Wright, Joseph",Author,Circle,1,Light Blue
99,"Stoessinger, John G.",Author,Circle,1,Light Blue
100,"Strauss, Julia C.",Author,Circle,1,Light Blue
101,"Suh, Dae-Sook",Author,Circle,1,Light Blue
102,"Sylvestre, Peter",Author,Circle,1,Light Blue
103,"Szelenyi, Ivan",Author,Circle,1,Light Blue
104,"Uhalley, Stephen",Author,Circle,1,Light Blue
105,"Vittoz, Stanley",Author,Circle,1,Light Blue
106,"Von Bertalanffy, Ludwig",Author,Circle,1,Light Blue
107,"Wedeman, Andrew",Author,Circle,1,Light Blue
108,"Yee, Samuel",Author,Circle,1,Light Blue
109,"Yoon, Dae-Kyu; Yang, Moon-Soo",Author,Circle,1,Light Blue
110,"Young, Roland",Author,Circle,1,Light Blue
111,"Ziegler, Charles E.",Author,Circle,1,Light Blue
112,"lee, Chae-Jin; Scalapino, Robert A.; Kim, Dalchoong",Author,Circle,1,Light Blue
